 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
BIV;199701;19970102;10;64;55
BIV;199702;19970225;18;76;60
BIV;199703;19970329;18;78;64
BIV;199704;19970426;12;65;38
BIV;199705;19970505;28;28;3
BIV;199706;19970621;3;3;0
BIV;199707;-;0;0;0
BIV;199708;19970827;3;3;0
BIV;199709;-;0;0;0
BIV;199710;19971012;3;3;0
BIV;199711;19971129;8;22;11
BIV;199712;19971211;25;55;40
BIV;199801;19980119;12;75;58
BIV;199802;19980221;22;75;60
BIV;199803;19980319;33;88;65
BIV;199804;19980404;38;85;48
BIV;199805;19980516;1;3;0
BIV;199806;19980610;15;15;1
BIV;199807;-;0;0;0
BIV;199808;-;0;0;0
BIV;199809;19980911;7;8;1
BIV;199810;19981018;8;8;1
BIV;199811;19981119;8;19;8
BIV;199812;19981219;17;39;31
BIV;199901;19990127;48;100;50
BIV;199902;19990216;48;152;118
BIV;199903;19990303;35;158;124
BIV;199904;19990415;60;202;112
BIV;199905;-;0;59;10
BIV;199906;19990602;5;5;0
BIV;199907;-;0;0;0
BIV;199908;-;0;0;0
BIV;199909;-;0;0;0
BIV;199910;19991002;30;30;2
BIV;199911;19991105;20;58;27
BIV;199912;19991225;29;84;53
BIV;200001;20000129;16;105;74
BIV;200002;20000215;15;130;101
BIV;200003;20000325;39;120;99
BIV;200004;20000416;40;121;81
BIV;200005;20000517;6;10;1
BIV;200006;-;0;0;0
BIV;200007;20000710;12;12;1
BIV;200008;-;0;0;0
BIV;200009;20000919;5;5;0
BIV;200010;20001030;28;28;1
BIV;200011;20001116;40;65;38
BIV;200012;20001214;23;50;30
BIV;200101;20010106;54;83;60
BIV;200102;20010207;32;110;83
BIV;200103;20010328;45;98;70
BIV;200104;20010418;22;98;72
BIV;200105;-;0;35;3
BIV;200106;20010609;28;28;2
BIV;200107;-;0;0;0
BIV;200108;-;0;0;0
BIV;200109;20010914;10;10;1
BIV;200110;-;0;0;0
BIV;200111;20011121;15;40;15
BIV;200112;20011225;8;45;34
BIV;200201;20020122;4;42;39
BIV;200202;20020205;32;77;63
BIV;200203;20020301;52;112;72
BIV;200204;20020412;18;59;34
BIV;200205;20020522;20;20;2
BIV;200206;-;0;0;0
BIV;200207;-;0;0;0
BIV;200208;-;0;0;0
BIV;200209;-;0;0;0
BIV;200210;20021016;32;32;3
BIV;200211;20021117;32;34;11
BIV;200212;20021227;10;53;37
BIV;200301;20030103;18;90;58
BIV;200302;20030204;15;102;82
BIV;200303;20030305;12;81;67
BIV;200304;20030401;25;70;34
BIV;200305;20030512;2;2;0
BIV;200306;-;0;0;0
BIV;200307;-;0;0;0
BIV;200308;-;0;0;0
BIV;200309;-;0;0;0
BIV;200310;20031023;27;30;9
BIV;200311;20031126;30;40;8
BIV;200312;20031227;42;69;24
BIV;200401;20040119;30;105;78
BIV;200402;20040207;22;108;91
BIV;200403;20040306;15;111;94
BIV;200404;20040418;20;84;57
BIV;200405;20040504;20;20;1
BIV;200406;20040619;1;1;0
BIV;200407;20040709;10;10;0
BIV;200408;-;0;0;0
BIV;200409;-;0;0;0
BIV;200410;20041014;4;4;0
BIV;200411;20041118;10;20;9
BIV;200412;20041224;13;43;22
BIV;200501;20050130;30;109;57
BIV;200502;20050211;20;112;101
BIV;200503;20050304;12;109;80
BIV;200504;20050408;30;62;30
BIV;200505;20050522;5;5;0
BIV;200506;-;0;0;0
BIV;200507;-;0;0;0
BIV;200508;-;0;0;0
BIV;200509;20050916;7;7;0
BIV;200510;20051001;40;40;5
BIV;200511;20051120;15;28;9
BIV;200512;20051215;42;82;57
