 

stn;time;hti000mx;hto000mx;hns000mx;hto000m0
AVB;201111;-;-;0;0
AVB;201112;20111222;48;30;16
AVB;201201;-;-;-;31
AVB;201202;20120215;40;10;27
AVB;201203;20120318;38;30;6
AVB;201204;20120411;20;22;5
AVB;201205;20120516;3;3;0
AVB;201206;20120603;20;20;1
AVB;201207;-;0;0;0
AVB;201208;-;0;0;0
AVB;201209;-;0;0;0
AVB;201210;20121015;38;38;3
AVB;201211;20121129;25;5;1
AVB;201212;20121222;35;10;20
AVB;201301;20130120;45;12;31

stn;time;hti000yx;hto000y0
AVB;2012;20121015;8
AVB;2013;20131225;14

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
BIV;200701;20070122;35;87;50
BIV;200702;20070210;20;72;62
BIV;200703;20070317;20;72;57
BIV;200704;20070401;5;43;10
BIV;200705;20070527;25;25;1
BIV;200706;-;0;0;0
BIV;200707;20070708;2;2;0
BIV;200708;-;0;0;0
BIV;200709;20070924;25;32;4
BIV;200710;20071029;8;8;1
BIV;200711;20071109;30;63;28
BIV;200712;20071202;20;57;46
BIV;200801;20080111;29;80;65
BIV;200802;20080203;20;91;77
BIV;200803;20080309;15;82;68
BIV;200804;20080410;40;98;72
BIV;200805;20080516;15;36;4
BIV;200806;-;0;0;0
BIV;200807;20080712;6;6;0
BIV;200808;-;0;0;0
BIV;200809;20080916;2;2;0
BIV;200810;20081029;15;20;3
BIV;200811;20081120;56;96;32
BIV;200812;20081209;35;120;97
BIV;200901;-;-;-;-
BIV;200902;-;-;-;-
BIV;200903;-;-;-;-
BIV;200904;-;-;-;-
BIV;200905;-;-;-;-
BIV;200906;-;-;-;-
BIV;200907;-;-;-;-
BIV;200908;-;-;-;-
BIV;200909;-;-;-;-
BIV;200910;-;-;-;-
BIV;200911;-;-;-;-
BIV;200912;-;-;-;-
BIV;201001;-;-;-;-
BIV;201002;-;-;-;-
BIV;201003;-;-;-;-
BIV;201004;-;-;-;-
BIV;201005;-;-;-;-
BIV;201006;-;-;-;-
BIV;201007;-;-;-;-
BIV;201008;-;-;-;-
BIV;201009;-;-;-;-
BIV;201010;-;-;-;-
BIV;201011;-;-;-;-
BIV;201012;-;-;-;-
BIV;201101;-;-;-;-
BIV;201102;-;-;-;-
BIV;201103;-;-;-;-
BIV;201104;-;-;-;-
BIV;201105;-;-;-;-
BIV;201106;-;-;-;-
BIV;201107;-;-;-;-
BIV;201108;-;-;-;-
BIV;201109;-;-;-;-
BIV;201110;-;-;-;-
BIV;201111;-;0;0;0
BIV;201112;-;-;88;33
BIV;201201;-;-;145;114
BIV;201202;20120219;14;140;126
BIV;201203;-;-;-;127
BIV;201204;-;-;135;103
BIV;201205;-;0;58;9
BIV;201206;-;0;0;0
BIV;201207;-;0;0;0
BIV;201208;-;0;0;0
BIV;201209;-;0;0;0
BIV;201210;-;-;36;3
BIV;201211;20121128;29;35;5
BIV;201212;20121227;17;48;33
BIV;201301;20130116;13;61;50

stn;time;hti000yx;hns000y0;hto000y0
BIV;2007;20070122;564;22
BIV;2008;20081120;833;35
BIV;2009;-;-;-
BIV;2010;-;-;-
BIV;2011;-;-;-
BIV;2012;20120120;-;43
BIV;2013;20130419;556;24

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
GUS;201111;-;0;0;0
GUS;201112;20111220;39;71;19
GUS;201201;20120105;9;68;55
GUS;201202;20120214;16;75;52
GUS;201203;-;0;24;10
GUS;201204;-;0;0;0
GUS;201205;-;0;0;0
GUS;201206;-;0;0;0
GUS;201207;-;0;0;0
GUS;201208;-;0;0;0
GUS;201209;-;0;0;0
GUS;201210;20121028;5;3;0
GUS;201211;20121128;1;1;0
GUS;201212;20121209;28;82;29
GUS;201301;20130110;9;19;11

stn;time;hti000yx;hns000y0;hto000y0
GUS;2012;20121209;202;12
GUS;2013;20130203;156;6

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7MA;200702;20070225;11;-;-
SLF7MA;200703;-;-;89;73
SLF7MA;200704;20070403;2;70;24
SLF7MA;200705;20070528;4;4;0
SLF7MA;200706;-;-;-;-
SLF7MA;200707;-;-;-;-
SLF7MA;200708;-;-;-;-
SLF7MA;200709;-;-;-;-
SLF7MA;200710;20071024;1;1;0
SLF7MA;200711;-;-;-;-
SLF7MA;200712;-;-;-;-
SLF7MA;200801;20080111;32;134;97
SLF7MA;200802;20080204;22;134;112
SLF7MA;200803;20080310;46;140;99
SLF7MA;200804;20080411;34;132;109
SLF7MA;200805;-;0;110;24
SLF7MA;200806;-;-;-;-
SLF7MA;200807;-;-;-;-
SLF7MA;200808;-;-;-;-
SLF7MA;200809;-;-;-;-
SLF7MA;200810;20081030;32;35;2
SLF7MA;200811;20081130;39;83;18
SLF7MA;200812;20081210;53;136;101
SLF7MA;200901;20090120;38;143;105
SLF7MA;200902;20090206;63;222;164
SLF7MA;200903;20090304;36;185;152
SLF7MA;200904;20090428;30;144;93
SLF7MA;200905;-;0;64;12
SLF7MA;200906;-;-;-;-
SLF7MA;200907;-;-;-;-
SLF7MA;200908;-;-;-;-
SLF7MA;200909;-;-;-;-
SLF7MA;200910;20091021;5;5;0
SLF7MA;200911;20091129;65;65;8
SLF7MA;200912;20091222;36;117;80
SLF7MA;201001;20100108;16;125;107
SLF7MA;201002;20100225;18;140;115
SLF7MA;201003;20100326;15;128;115
SLF7MA;201004;20100403;35;150;87
SLF7MA;201005;20100502;10;10;0
SLF7MA;201006;-;-;-;-
SLF7MA;201007;-;-;-;-
SLF7MA;201008;-;-;-;-
SLF7MA;201009;-;-;-;-
SLF7MA;201010;20101025;15;24;3
SLF7MA;201011;20101107;45;65;36
SLF7MA;201012;20101221;21;105;76
