 

stn;time;hto000mx;hto000m0
BIV;201801;129;85
BIV;201802;112;102
BIV;201803;123;104
BIV;201804;112;50
BIV;201805;4;0
BIV;201806;-;-
BIV;201807;-;-
BIV;201808;-;-
BIV;201809;-;-
BIV;201810;41;3
BIV;201811;14;3
BIV;201812;65;28
BIV;201901;138;97
BIV;201902;128;114
BIV;201903;120;99
BIV;201904;137;84
BIV;201905;57;19
BIV;201906;0;0
BIV;201907;0;0
BIV;201908;0;0
BIV;201909;17;1
BIV;201910;0;0
BIV;201911;59;25
BIV;201912;54;35
BIV;202001;50;35
BIV;202002;62;44
BIV;202003;73;46
BIV;202004;26;5
BIV;202005;1;0
BIV;202006;3;0
BIV;202007;0;0
BIV;202008;0;0
BIV;202009;15;2
BIV;202010;40;4
BIV;202011;16;2
BIV;202012;98;51
BIV;202101;145;84
BIV;202102;124;101
BIV;202103;95;79
BIV;202104;-;52

stn;time;hti000yx;hns000y0;hto000y0
BIV;2019;20190404;819;40
BIV;2020;20201206;440;16

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7MA;201801;20180120;35;156;127
SLF7MA;201802;20180201;28;164;140
SLF7MA;201803;20180330;36;186;146
SLF7MA;201804;20180412;35;185;127
SLF7MA;201805;-;0;35;4
SLF7MA;201806;-;-;-;-
SLF7MA;201807;-;-;-;-
SLF7MA;201808;-;-;-;-
SLF7MA;201809;-;-;-;-
SLF7MA;201810;20181027;16;42;4
SLF7MA;201811;20181123;19;45;16
SLF7MA;201812;20181209;27;47;34
SLF7MA;201901;20190113;22;63;46
SLF7MA;201902;20190201;71;129;92
SLF7MA;201903;20190307;30;108;80
SLF7MA;201904;20190404;62;144;68
SLF7MA;201905;20190508;6;25;3
SLF7MA;201906;-;-;-;-
SLF7MA;201907;-;-;-;-
SLF7MA;201908;-;-;-;-
SLF7MA;201909;-;-;-;-
SLF7MA;201910;-;0;0;0
SLF7MA;201911;20191115;45;96;52
SLF7MA;201912;20191220;38;112;85
SLF7MA;202001;20200128;11;99;90
SLF7MA;202002;20200213;12;96;86
SLF7MA;202003;20200302;47;135;97
SLF7MA;202004;20200430;4;79;31
SLF7MA;202005;-;0;4;0
SLF7MA;202006;-;-;-;-
SLF7MA;202007;-;-;-;-
SLF7MA;202008;-;-;-;-
SLF7MA;202009;-;-;-;-
SLF7MA;202010;-;-;-;-
SLF7MA;202011;-;-;3;0
SLF7MA;202012;20201206;55;131;80
SLF7MA;202101;20210122;38;155;113
SLF7MA;202102;-;-;178;150
SLF7MA;202103;20210314;8;140;131
SLF7MA;202104;-;-;-;83

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5OB;201801;20180121;46;159;99
SLF5OB;201802;20180215;12;134;126
SLF5OB;201803;20180313;11;124;110
SLF5OB;201804;20180401;1;88;33
SLF5OB;201805;-;0;0;0
SLF5OB;201806;-;-;-;-
SLF5OB;201807;-;-;-;-
SLF5OB;201808;-;-;-;-
SLF5OB;201809;-;-;-;-
SLF5OB;201810;20181027;60;60;4
SLF5OB;201811;20181119;3;10;2
SLF5OB;201812;20181209;40;46;25
SLF5OB;201901;20190113;38;110;68
SLF5OB;201902;20190201;14;79;66
SLF5OB;201903;20190314;29;79;55
SLF5OB;201904;20190404;33;58;14
SLF5OB;201905;20190514;1;1;0
SLF5OB;201906;-;-;-;-
SLF5OB;201907;-;-;-;-
SLF5OB;201908;-;-;-;-
SLF5OB;201909;-;-;-;-
SLF5OB;201910;-;0;0;0
SLF5OB;201911;20191117;22;39;11
SLF5OB;201912;20191209;23;41;20
SLF5OB;202001;20200128;29;56;29
SLF5OB;202002;20200213;23;59;36
SLF5OB;202003;20200310;15;64;32
SLF5OB;202004;-;0;0;0
SLF5OB;202005;20200511;1;1;0
SLF5OB;202006;-;-;-;-
SLF5OB;202007;-;-;-;-
SLF5OB;202008;-;-;-;-
SLF5OB;202009;-;-;-;-
SLF5OB;202010;-;-;-;-
SLF5OB;202011;-;-;-;0
SLF5OB;202012;20201205;42;68;40
SLF5OB;202101;20210127;75;162;85
SLF5OB;202102;20210207;17;124;107
SLF5OB;202103;20210315;35;133;94
SLF5OB;202104;-;-;-;40

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
PON;201801;20180120;19;80;62
PON;201802;20180201;6;69;66
PON;201803;-;-;-;57
PON;201804;20180412;11;35;6
PON;201805;20180514;1;0;0
PON;201806;-;0;0;0
PON;201807;-;0;0;0
PON;201808;-;0;0;0
PON;201809;-;0;0;0
PON;201810;20181027;46;46;4
PON;201811;20181118;6;25;4
PON;201812;20181209;15;22;14
PON;201901;20190113;23;61;41
PON;201902;20190201;33;93;77
PON;201903;20190314;17;46;25
PON;201904;20190404;57;68;11
PON;201905;20190508;2;2;0
PON;201906;-;0;0;0
PON;201907;-;0;0;0
PON;201908;-;0;0;0
PON;201909;20190907;10;7;0
PON;201910;-;0;0;0
PON;201911;20191116;35;110;43
PON;201912;-;-;-;49
PON;202001;20200128;5;52;48
PON;202002;20200204;17;58;39
PON;202003;20200302;32;60;27
PON;202004;20200430;2;0;0
PON;202005;-;0;1;0
PON;202006;-;0;0;0
PON;202007;-;0;0;0
PON;202008;-;0;0;0
PON;202009;20200925;17;17;1
PON;202010;20201026;30;30;3
PON;202011;-;-;5;0
PON;202012;20201206;40;90;54
PON;202101;20210127;25;110;77
PON;202102;20210207;28;125;95
PON;202103;-;-;60;49
PON;202104;-;-;-;8

stn;time;hti000yx;hto000y0
PON;2018;20181027;18
PON;2019;20190404;21
PON;2020;20201206;14

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SVG;201801;20180121;30;53;16
SVG;201802;20180201;10;17;12
SVG;201803;20180307;10;20;11
SVG;201804;-;0;18;1
SVG;201805;-;0;0;0
SVG;201806;-;0;0;0
SVG;201807;-;0;0;0
SVG;201808;-;0;0;0
SVG;201809;-;0;0;0
SVG;201810;20181027;45;45;3
SVG;201811;20181118;4;4;0
SVG;201812;20181209;20;35;11
SVG;201901;20190113;36;76;52
SVG;201902;20190210;4;51;29
SVG;201903;20190314;14;29;13
SVG;201904;20190404;17;17;1
SVG;201905;20190504;2;2;0
SVG;201906;-;0;0;0
SVG;201907;-;0;0;0
SVG;201908;-;0;0;0
SVG;201909;-;0;0;0
SVG;201910;-;0;0;0
SVG;201911;20191111;15;19;4
SVG;201912;20191211;10;12;4
SVG;202001;20200128;14;14;7
SVG;202002;20200213;7;13;5
SVG;202003;20200310;6;6;1
SVG;202004;-;0;0;0
SVG;202005;-;0;0;0
SVG;202006;-;0;0;0
SVG;202007;-;0;0;0
SVG;202008;-;0;0;0
SVG;202009;20200925;5;5;0
SVG;202010;20201026;30;30;2
SVG;202011;-;0;4;0
SVG;202012;20201206;50;82;39
SVG;202101;20210113;49;99;56
SVG;202102;20210207;10;75;55
SVG;202103;20210321;3;24;12
SVG;202104;-;-;-;1

stn;time;hti000yx;hns000y0;hto000y0
SVG;2018;20181027;265;5
SVG;2019;20190113;248;9
SVG;2020;20201206;214;5

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SCU;201801;20180120;47;110;60
SCU;201802;20180201;14;70;57
SCU;201803;20180318;8;46;25
SCU;201804;-;0;3;0
SCU;201805;-;0;0;0
SCU;201806;-;0;0;0
SCU;201807;-;0;0;0
SCU;201808;-;0;0;0
SCU;201809;-;0;0;0
SCU;201810;20181027;24;24;1
SCU;201811;20181118;2;2;0
SCU;201812;20181209;22;31;12
SCU;201901;20190112;20;60;35
SCU;201902;20190201;37;80;57
SCU;201903;20190311;18;28;11
SCU;201904;-;0;0;0
SCU;201905;-;0;0;0
